FuncAddr			CpuTime		Percentage		SelfTime		Percentage		CallTimes		AvarageSelfTime
0x4ffff07c0c90		345				0.000000%		345				0.000000%		1			345.000000
0x4ffff07c0dd8		84				0.000000%		84				0.000000%		1			84.000000
0x4ffff07c0f20		57				0.000000%		57				0.000000%		1			57.000000
0x4ffff07c10d0		294				0.000000%		294				0.000000%		1			294.000000
0x4ffff0a8c1b8		436279				0.000105%		433991				0.000105%		1			433991.000000
0x4ffff06e8ca8		103248				0.000025%		103248				0.000025%		33			3128.727273
0x4ffff06e295c		280640				0.000068%		277681				0.000067%		33			8414.575758
0x4ffff0866920		36734132				0.008876%		36734132				0.008876%		417648			87.954766
0x4ffff15c0f3c		935288				0.000226%		935288				0.000226%		75			12470.506667
0x4ffff088698c		3783194				0.000914%		3783194				0.000914%		198			19107.040404
0x4ffff15c312c		28558038478				6.900394%		28558038478				6.900394%		164			174134380.963415
0x4ffff15c3070		60578803866				14.637475%		50593663082				12.224796%		164			308497945.621951
0x4ffff0a91d40		74327				0.000018%		74327				0.000018%		165			450.466667
0x4ffff0864ae0		110339951566				26.661113%		110303217434				26.652237%		417648			264105.700097
0x4ffff0a8aef4		70305592				0.016988%		5142440				0.001243%		33			155831.515152
0x4ffff06e2628		29738				0.000007%		29738				0.000007%		66			450.575758
0x4ffff087d1b8		1796431669				0.434066%		121814196				0.029434%		330			369133.927273
0x4ffff08ac4e4		102002100				0.024646%		101999635				0.024646%		1			101999635.000000
0x4ffff07e1c70		5728932402				1.384265%		5414066386				1.308185%		55616			97347.281106
0x4ffff07e2d8c		860479				0.000208%		860479				0.000208%		120			7170.658333
0x4ffff0b4fadc		55791				0.000013%		55791				0.000013%		32			1743.468750
0x4ffff0883ec4		1916940456				0.463185%		1916924239				0.463181%		56			34230789.982143
0x4ffff096d944		437490				0.000106%		437490				0.000106%		486			900.185185
0x4ffff0971a5c		294566				0.000071%		294566				0.000071%		46			6403.608696
0x4ffff15c0dc4		5147004				0.001244%		5147004				0.001244%		37			139108.216216
0x4ffff15c06cc		598659				0.000145%		598659				0.000145%		37			16179.972973
0x4ffff0865750		9955				0.000002%		9955				0.000002%		1			9955.000000
0x4ffff0a8bed4		10705				0.000003%		10705				0.000003%		1			10705.000000
0x4ffff07c80a8		1106				0.000000%		1106				0.000000%		1			1106.000000
0x4ffff07333d8		36				0.000000%		36				0.000000%		1			36.000000
0x4ffff07fe2e4		1456				0.000000%		1456				0.000000%		1			1456.000000
0x4ffff0b206e4		33698				0.000008%		33698				0.000008%		132			255.287879
